article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_rougeL,anthropic_rougeL,gemini_rougeL
"(CNN)When I was elected to the Kentucky State Senate in 1967, I became the first","Georgia Powers: Rand Paul, running for president, would like minorities to think he's an advocate. His record on rights shows otherwise .
On civil rights, women's choice, voting rights, immigrant DREAMers, education, he has shown he'd take country backwards, she says .","The article criticizes Rand Paul's presidential campaign, highlighting his questionable stance on civil rights and voting rights legislation, which contradicts his message of expanding the Republican Party's inclusivity. The author argues that Paul's policies do not genuinely address the issues facing minority communities and suggests that his leadership would regress the country on civil rights progress.","# Summary

In this opinion piece, former Kentucky State Senator Georgia Davis Powers criticizes Rand Paul's presidential campaign announcement, arguing that despite his claims of expanding the Republican Party and reaching out to minorities, his voting record and policy positions—including questioning the Civil Rights Act, opposing voting rights protections, and seeking to limit civil rights—contradict any genuine commitment to minority communities. Powers contends that Paul's track record demonstrates he would take the country backward on civil rights issues rather than forward.","The author, Kentucky's first female and person of color state senator, criticizes Rand Paul's presidential campaign, arguing his record on civil rights and voting rights contradicts his message of expanding the Republican Party. She asserts that Paul's policies would move the country backward, citing his past questioning of landmark legislation and his opposition to protections for minority communities. The author concludes that Paul's rhetoric of inclusion is disingenuous given his actual stances on critical issues.",1.617,2.278,1.07,0.1961,0.2362,0.1967
(CNN)A French-language global television network regained control of one of its ,"Network regains control of Facebook page and one of its 11 channels .
ISIS logos displayed but no claim of responsibility made by any group .
Network reaches 260 million homes worldwide .","TV5Monde, a French-language global television network, experienced a severe cyberattack that disrupted its broadcasts and social media accounts, with ISIS logos appearing on its platforms, though no group claimed responsibility. By Thursday, the network had regained control of one of its 11 channels and its Facebook page, while efforts to restore full functionality continued. The attack began on Wednesday evening and affected TV5Monde's ability to reach its global audience of 260 million homes.","TV5Monde, a major French-language television network, suffered a significant cyberattack that temporarily disabled its 11 channels, websites, and social media accounts, with ISIS logos appearing on compromised accounts though no formal claim of responsibility was made. By Thursday morning, the network had regained control of one channel and its Facebook page, with operations gradually being restored after the outage began Wednesday evening.","French-language global television network TV5Monde is gradually regaining control of its channels and social media accounts after a ""powerful cyberattack"" crippled its broadcasts and websites. The network's director stated that ISIS logos and markings appeared on their social media, though no group has officially claimed responsibility. While one of its 11 channels and its Facebook page are back online, other parts of the website remain under maintenance following the Wednesday evening outage.",3.814,1.741,0.958,0.2476,0.2796,0.2115
"Abu Dhabi, United Arab Emirates (CNN)Lost luggage after a long flight is a commo","Couple spends $1,200 to ship their cat, Felix, on a flight from the United Arab Emirates .
Felix went missing somewhere at John F. Kennedy International Airport, airline says .
Pets are ""treated no differently than a free piece of checked luggage,"" Jennifer Stewart says .","Jennifer Stewart's pet cat, Felix, went missing after Etihad Airways lost his carrier during a flight from Abu Dhabi to New York City. The airline is investigating the incident and working with specialists to locate the cat, while Stewart criticizes the handling of pets as cargo. Etihad Airways has expressed regret and plans to review its pet handling procedures.","A 2-year-old cat named Felix went missing at New York's JFK Airport after Etihad Airways transported him in a damaged carrier from Abu Dhabi, with his owner Jennifer Stewart believing the crushed plastic carrier allowed the cat to escape. Etihad Airways states that pet losses are ""extremely rare"" and is investigating the incident with third-party specialists, while Stewart criticizes the airline for treating the pet like cargo rather than a live animal despite paying $1,200 for the transport service.","Jennifer Stewart's 2-year-old cat, Felix, went missing at JFK Airport after an Etihad Airways flight from Abu Dhabi, allegedly due to a damaged carrier. Stewart, who paid $1,200 to ship Felix, expressed devastation and criticized the airline for treating pets like cargo. Etihad Airways is investigating the ""extremely rare"" incident and working with specialists to locate Felix, while reviewing its pet handling procedures.",1.396,2.167,1.157,0.1538,0.1719,0.1441
(CNN)The nation's top stories will be unfolding Tuesday in courthouses and polit,"The trials of Dzhokhar Tsarnaev and Aaron Hernandez are coming to a close .
Voting has put Rahm Emanuel and Ferguson, Missouri, back in the headlines .
Rand Paul has announced his bid for the presidency .","On Tuesday, significant events are unfolding across the U.S., including the closing of high-profile trials for Aaron Hernandez and Dzhokhar Tsarnaev in Massachusetts, with juries beginning deliberations. In political news, Sen. Rand Paul announced his presidential candidacy, while Chicago holds a surprising mayoral runoff between Rahm Emanuel and Jesus ""Chuy"" Garcia. Additionally, Ferguson, Missouri, faces elections under the lingering impact of the Michael Brown shooting and subsequent protests.","# Summary

Two major trials in Massachusetts are reaching conclusions: Dzhokhar Tsarnaev faces possible death penalty for the 2013 Boston Marathon bombing, while Aaron Hernandez's jury will begin deliberations in the killing of semi-pro player Odin Lloyd. Senator Rand Paul officially announced his 2016 presidential campaign in Kentucky, while Chicago voters head to a runoff election between Mayor Rahm Emanuel and challenger Jesus ""Chuy"" Garcia, and Ferguson, Missouri holds elections shadowed by the Michael Brown shooting controversy.","Tuesday is a busy day for news across the United States, with major court trials and political events unfolding. In Massachusetts, the trials of former NFL player Aaron Hernandez and Boston Marathon bomber Dzhokhar Tsarnaev are nearing their conclusions, with juries beginning deliberations. Meanwhile, Senator Rand Paul officially announced his presidential bid in Kentucky, and Chicago voters are heading to the polls for a mayoral runoff election.",1.199,1.701,1.152,0.2308,0.2321,0.2376
"(CNN)A mammoth fire broke out Friday morning in a Kentucky industrial park, send","Fire breaks out at the General Electric Appliance Park in Louisville, Kentucky .
City official: No is believed to be injured or trapped .","A massive fire erupted at the General Electric Appliance Park in Louisville, Kentucky, on Friday morning, producing thick smoke and bright flames as firefighters worked to control the situation. The fire, which reached at least four alarms, began shortly before 7 a.m., but no injuries or entrapments were reported. The cause of the fire remains unknown.","A major fire broke out Friday morning at General Electric's Appliance Park in Louisville, Kentucky, sending thick smoke over the area as firefighters worked to contain the blaze. The fire, which reached at least four alarms, caused no reported injuries or deaths, though authorities had not yet determined its cause. The GE facility, one of the largest industrial sites in the region, was significantly affected by the multi-alarm fire.","A massive, four-alarm fire erupted Friday morning at the General Electric Appliance Park in Louisville, Kentucky, sending thick smoke over the area. Firefighters are working to contain the blaze, which began around 7 a.m., but the cause is currently unknown. There are no reported injuries or trapped individuals at the large industrial facility.",1.42,1.597,1.157,0.3038,0.2581,0.3377
"Cedar Falls, Iowa (CNN)As aides politely tried to rush Ted Cruz from an event in","Ted Cruz has built a brand as a stalwart conservative on fiscal issues .
But he's also eager to champion social issues at a time when many Republicans are eager to avoid them .
Cruz says the GOP needs to unite young libertarian-minded voters and evangelicals .","Ted Cruz, during his campaign trail in Iowa, emphasized his connection with evangelical voters, a significant segment of the state's Republican base. As the only official presidential candidate at the time, Cruz engaged with voters on a religious level, drawing large crowds and aiming to energize the Christian right to secure a win in Iowa. He also defended the controversial religious freedom law in Indiana, framing it as a defense of First Amendment rights, and shared personal stories about his faith and family to resonate with the evangelical audience.","# Summary

Ted Cruz, as the first official Republican presidential candidate to campaign in Iowa, is leveraging the state's large evangelical Christian voter base to launch his 2016 presidential bid. The Texas senator adopts a pastoral demeanor while campaigning, connecting with voters through religious conversations and championing social conservative issues like religious freedom laws. With Iowa's previous caucus winners gaining support from Christian voters, Cruz is positioning himself to energize this crucial demographic and win the state.","Ted Cruz, the sole official presidential candidate, is actively campaigning in Iowa, focusing on connecting with the state's strong evangelical base. He frequently engages with voters on a religious level, adopting a pastoral demeanor reminiscent of a Sunday sermon. Cruz is strategically appealing to Christian conservatives, a demographic crucial for past Iowa caucus winners, and is openly championing social issues like religious freedom, even as some Republicans shy away from them.",2.225,2.895,1.347,0.1618,0.1774,0.1695
(CNN)One hundred and forty-seven victims. Many more families affected. Even more,"Kenyans use hashtag #147notjustanumber to honor victims of Kenya university attack .
The attack killed 142 students, three security officers and two university security personnel .","In the aftermath of the Garissa University College attack in Kenya, where 147 people were killed by Al-Shabaab terrorists, Kenyans have taken to social media using the hashtag #147notjustanumber to honor the victims by sharing their stories and dreams. The attack, which targeted Christians and was the deadliest in Kenya since the 1998 U.S. Embassy bombing, has led to nationwide mourning, with emotional tributes during Easter services and increased security at churches. One of the attackers was identified as the son of a government official, highlighting the complex nature of the extremist threat in the region.","A terrorist attack by Al-Shabaab at Garissa University College in Kenya killed 147 people, mostly students, making it the deadliest attack in the nation since the 1998 U.S. Embassy bombing. Kenyans used social media with the hashtag #147notjustanumber to share victims' stories and honor their dreams and aspirations. The attack prompted emotional Easter services across the country where churches mourned the victims under armed security.","Kenyans are using social media with the hashtag #147notjustanumber to share stories and photos of the victims killed in the recent Garissa University College terrorist attack, as authorities have not released an official list. The attack, which killed 147 people, mostly students, was Kenya's deadliest since 1998 and involved gunmen separating and killing Christian students. One of the attackers has been identified as the son of a government official, and the extremist group Al-Shabaab, based in Somalia, has a history of attacks in Kenya.",1.416,1.748,1.008,0.1803,0.1978,0.2364
(CNN)The California Public Utilities Commission on Thursday said it is ordering ,"The penalty is more than 10 times the previous record, according to a newspaper report .
Utility commission to force Pacific Gas & Electric Co. to make infrastructure improvements .
Company apologizes for explosion that killed 8, says it is using lessons learned to improve safety .","The California Public Utilities Commission has imposed a record $1.6 billion penalty on Pacific Gas & Electric Co. for unsafe gas transmission operations, including a 2010 pipeline explosion in San Bruno that killed eight people. The majority of the penalty will be used for pipeline safety improvements, with $850 million allocated for infrastructure enhancements and $50 million for other safety measures. PG&E has expressed remorse and committed to becoming the safest energy company, having already paid over $500 million in claims and implemented significant safety upgrades.","California's Public Utilities Commission ordered Pacific Gas & Electric Co. to pay a record $1.6 billion penalty for unsafe operation of its gas transmission system, including the 2010 San Bruno pipeline rupture that killed eight people and injured over 50 others. The majority of the penalty ($850 million) will be directed toward gas transmission pipeline safety infrastructure improvements, while PG&E has already paid over $500 million in claims to victims and their families. The company has since replaced over 800 miles of pipe and implemented safety improvements to prevent similar incidents.","The California Public Utilities Commission has ordered Pacific Gas & Electric Co. to pay a record $1.6 billion penalty for unsafe operation of its gas transmission system, including the 2010 San Bruno pipeline explosion that killed eight people. The majority of the penalty, $850 million, is earmarked for improving pipeline safety infrastructure. This record fine comes as PG&E's CEO states the company is committed to becoming the safest energy company in the U.S. and has already taken steps to address the issues that led to the tragedy.",2.46,1.64,1.296,0.2154,0.1765,0.2256
Boston (CNN)Guilty across the board. But will he face death? After deliberating ,"Dzhokhar Tsarnaev is found guilty on all 30 charges he faced .
Seventeen counts were capital charges, meaning he is eligible for the death penalty .","Dzhokhar Tsarnaev was found guilty on all 30 counts related to the Boston Marathon bombing, with 17 of those being capital charges, making him eligible for the death penalty. The trial will now enter a penalty phase where the jury will decide whether Tsarnaev should be executed, considering factors such as the severity of his crimes and his background. The defense aims to argue that Tsarnaev was influenced by his older brother, who was the mastermind behind the attack.","Dzhokhar Tsarnaev was found guilty on all 30 counts in the Boston Marathon bombing trial, with 17 of those being capital charges that make him eligible for the death penalty. The trial will now move into a penalty phase where jurors must decide whether to execute Tsarnaev, who was 19 at the time of the bombing, or spare his life by weighing aggravating factors like the heinousness of the crimes against mitigating factors such as his youth and family history. His defense attorney faces a significant challenge in convincing the jury to reject a death sentence given the premeditated nature of the attack and the harm inflicted on civilians.","Dzhokhar Tsarnaev has been found guilty on all 30 counts in the Boston Marathon bombing trial, making him eligible for the death penalty. The trial will now proceed to a penalty phase where the jury will decide whether he will be executed, weighing aggravating factors against mitigating circumstances. His defense attorney's strategy has been to argue that Tsarnaev's older brother was the instigator, hoping to spare him from the death penalty.",1.465,1.943,1.025,0.2913,0.2256,0.268
(CNN)Four workers died in a massive oil rig fire that raged for hours off the co,"The fire on a platform in the Gulf of Mexico has been extinguished, Pemex says .
45 workers were injured in the blaze, according to the state oil company .
Four workers were killed in the oil rig fire, which started early Wednesday .","A fire on the Abkatun Permanente oil rig off the coast of Mexico resulted in the deaths of four workers and injuries to 45 others, with two in serious condition. The blaze, which started in the platform's dehydration and pumping area, led to the evacuation of about 300 people and was extinguished by Wednesday night. Pemex, the state oil company, reported no oil spill or platform collapse and has not yet determined the fire's cause.","A massive fire on an oil rig off Mexico's coast killed four workers and injured 45 others Wednesday, prompting the evacuation of approximately 300 people from the Abkatun Permanente platform. Mexican state oil company Pemex extinguished the blaze after several hours using at least 10 boats and denied reports of platform collapse or oil spills. The cause of the fire, which started in the platform's dehydration and pumping area in the Gulf of Mexico's Campeche Sound, remains under investigation.","A massive oil rig fire off Mexico's coast killed four workers and injured 45 others on Wednesday. The blaze, which started in the dehydration and pumping area of the Abkatun Permanente platform, raged for hours before being extinguished by Wednesday night. Mexican state oil company Pemex evacuated 300 people and denied rumors of a platform collapse or oil spill, but has not yet determined the cause of the fire.",1.961,1.461,0.907,0.2712,0.2439,0.2162
"(CNN)Easter is unique on the Christian calendar, a major point in the cycle of t","Jay Parini: When religious identity, ethics, tolerance are roiling the culture, it's worth looking at message of Holy Week and Easter .
He says ritual enactment of these three days is reminder that again and again the human condition moves through darkness into light .","Easter, a pivotal event in the Christian calendar, remains less commercialized than Christmas and focuses on profound religious themes that resonate with the human condition. The Easter Triduum, comprising Good Friday, Holy Saturday, and Easter Sunday, marks a progression from Jesus' crucifixion to his resurrection, with each day holding significant religious rituals and meanings. Despite its importance, many people, including Christians, are not fully aware of the intricacies and historical context of Holy Week and its culmination in Easter.","# Summary

Easter's Holy Week, culminating in Easter Sunday, represents a significant Christian observance often misunderstood even among believers, centered on the three-day Easter Triduum beginning with Good Friday (commemorating Jesus's crucifixion), continuing through Holy Saturday, and concluding with Easter Sunday. The week also includes Maundy Thursday, when Jesus held the Last Supper with his disciples, establishing the tradition of Holy Communion and demonstrating humility through washing his disciples' feet. This religious cycle engages deeper questions about human identity, ethics, and the human condition rather than being subject to commercialization like Christmas.","Easter, unlike Christmas, has largely resisted commercialization, focusing instead on profound religious impulses. The core of Easter is the ""Easter Triduum,"" a three-day period encompassing Good Friday (the crucifixion), Holy Saturday (a day of transition), and Easter Sunday (the resurrection), preceded by Maundy Thursday (the Last Supper). This period explores themes of sacrifice, humility, and the human condition, rooted in Jesus's Jewish heritage and his teachings.",1.757,2.712,1.03,0.1301,0.1449,0.1964
(CNN)Police in India are putting aside their batons in favor of an overhead solu,"Police in Lucknow, northern India, have bought four drones to help control crowds .
The unmanned aerial vehicles are being fitted with cameras and pepper spray to subdue angry protesters .
Some Indians have questioned why police are resorting to ""authoritarian and forceful methods""","Police in Lucknow, India, are adopting pepper-spraying drones to manage unruly crowds during protests, a move that has sparked mixed reactions due to concerns over freedom of speech and the use of force. The drones, equipped with cameras and costing between $9,560 and $19,300 each, have been tested successfully and will be deployed during violent protests or mob attacks. Critics argue that this approach reflects an authoritarian mindset and suggest alternatives like dialogue, mediation, and video surveillance for crowd control.","# Summary

The Lucknow police force in northern India has purchased four pepper-spray equipped drones costing between $9,560 and $19,300 each to control violent protests and mob attacks. The measure has drawn mixed reactions, with critics concerned about suppression of free speech and arguing that authorities should prioritize dialogue and mediation rather than aggressive crowd control tactics.","Police in Lucknow, India, are introducing pepper-spraying drones to control violent protests and mob attacks, having purchased four and planning to acquire another. While authorities claim successful testing and imminent deployment, the initiative has sparked mixed reactions. Critics express concerns about potential suppression of free speech and question the police's reliance on aggressive tactics over dialogue and mediation.",2.326,1.384,0.986,0.224,0.2376,0.2549
(CNN)Just as the agency begins to recover from a series of high-profile missteps,"Secret Service says supervisor's security clearance has been suspended .
He is accused of trying to kiss a colleague .","The Secret Service is facing another scandal as a female employee accused supervisor Xavier Morales of assault after he made unwanted sexual advances and attempted to kiss her. Morales has been placed on administrative leave, and his security clearance was suspended. This incident adds to a series of recent controversies for the agency, including security lapses and leadership changes, highlighting ongoing challenges in its operations and culture.","A Secret Service supervisor has been placed on administrative leave after a female employee accused him of sexual assault and unwanted advances at an office party in late March. The incident represents another scandal for the agency, which has faced numerous high-profile security lapses and misconduct cases in recent months. Secret Service Director Joe Clancy called the allegations ""very disturbing"" and stated that workplace violence will not be tolerated.","The Secret Service is facing another scandal after a female employee accused supervisor Xavier Morales of assault following unwanted sexual advances at a party. Morales, who has been placed on administrative leave and had his security clearance suspended, allegedly told the woman he was in love with her, tried to kiss her, and grabbed her arms when she resisted. This incident adds to a series of recent high-profile missteps and security lapses for the agency, which an independent report found to be stretched ""beyond its limits.""",1.33,2.053,1.013,0.186,0.1573,0.2075
"Marseille, France (CNN)Investigators have collected all the main evidence from t","""All the police investigators have left the (Germanwings) crash site,"" a police official says .
Private security company is ensuring no one goes on the site, official says .
Authorities say co-pilot Andreas Lubitz deliberately crashed the plane, killing all 150 on board .","Investigators have completed evidence collection at the Germanwings Flight 9525 crash site in the French Alps, where the plane crashed on March 24, killing all 150 people on board. The flight data and cockpit voice recorders have been recovered, and DNA profiles have been isolated from the site. Authorities believe co-pilot Andreas Lubitz deliberately crashed the plane, having previously concealed his mental health issues from his employer.","French investigators have completed their collection of main evidence from the Germanwings Flight 9525 crash site in the Alps, where all 150 people aboard were killed on March 24. The co-pilot, Andreas Lubitz, deliberately locked the captain out of the cockpit and intentionally crashed the plane, with flight data showing he purposely accelerated the descent. Lubitz had a history of depression and concealed medical leave notes indicating he was unfit for work from his employer.","Investigators have concluded their main evidence collection at the Germanwings Flight 9525 crash site in the French Alps, with all police investigators having departed. The flight data recorder and cockpit voice recorder have been recovered, and 150 DNA profiles have been isolated from over 2,000 samples. Authorities believe co-pilot Andreas Lubitz intentionally crashed the plane, having concealed medical leave notes for depression from his employer.",2.043,1.441,0.912,0.3273,0.2712,0.2936
"(CNN)Pardon us, ""Lost"" fans, but April 8 wasn't only your day. Yes, we know the ","April 8 was huge for ""Lost"" and ""Empire Records"" fans .
April 14, April 25, October 21 are other big dates in movies .","April 8 is celebrated by fans of both ""Lost"" and ""Empire Records,"" with the latter marking ""Rex Manning Day"" in honor of the 1995 film. The article also highlights other notable dates from films, such as April 14 from ""Titanic,"" April 25 from ""Miss Congeniality,"" October 3 from ""Mean Girls,"" and October 21, 2015, from ""Back to the Future Part II.""","On April 8, 2015, ""Lost"" fans celebrated the significance of the date 4:23:42 p.m., but the day also marked ""Rex Manning Day,"" a tribute to the 1995 film ""Empire Records"" where a pop idol was scheduled to appear at a record store on that date. The article highlights other iconic dates from movies, including April 14 from ""Titanic,"" April 25 from ""Miss Congeniality,"" October 3 from ""Mean Girls,"" and October 21, 2015 from ""Back to the Future Part II.""","April 8th was a significant day for pop culture fans, marking both ""Lost"" day and ""Rex Manning Day"" from the film ""Empire Records."" The article highlights other memorable dates from movies, including April 14th from ""Titanic,"" April 25th from ""Miss Congeniality,"" and October 3rd from ""Mean Girls."" It also anticipates October 21, 2015, as the date Marty McFly travels to in ""Back to the Future Part II.""",1.431,2.046,1.026,0.2892,0.2115,0.2921
(CNN)They're not gonna take it anymore. Really. Twisted Sister says that its 201,"Twisted Sister's 2016 tour will be its last .
Band will celebrate 40 years in 2016 .
Twisted Sister drummer A.J. Pero died in March .","Twisted Sister has announced that their 2016 tour will be their last, marking the band's 40th anniversary with the ""Forty and F*ck It"" tour. The band will perform with new drummer Mike Portnoy, following the death of A.J. Pero, and will hold two tribute shows in Pero's honor.","Twisted Sister has announced that its 2016 tour will be its final tour, titled ""Forty and F*ck It"" to mark the band's 40th anniversary. The legendary rock band will feature new drummer Mike Portnoy, replacing late drummer A.J. Pero who died in March, and will perform two special tribute shows in Pero's honor. The band is best known for their 1984 hit ""We're Not Gonna Take It.""","Twisted Sister announced their ""Forty and F*ck It"" tour in 2016 will be their last, marking their 40th anniversary. The band will tour with new drummer Mike Portnoy, replacing the late A.J. Pero, and will play two shows in Pero's honor, one to support his family. Lead singer Dee Snider confirmed the farewell on Facebook, ending the band's career after their 1984 hit ""We're Not Gonna Take It.""",1.12,1.538,0.921,0.3636,0.3299,0.2653
"(The Hollywood Reporter)""Grace of Monaco,"" starring Nicole Kidman as star-turned","The film will premiere on Memorial Day .
It opened last year's Cannes Film Festival .
A planned March theater release was scrubbed .","""Grace of Monaco,"" starring Nicole Kidman as Grace Kelly, will premiere on Lifetime on May 25 after being critically panned and performing poorly internationally. Originally intended for a theatrical release by The Weinstein Co., the film faced controversy over its final cut and historical accuracy, leading to its direct sale to Lifetime. Despite initial Oscar buzz, the film's release was delayed multiple times, and it ultimately bypassed U.S. theaters.","""Grace of Monaco,"" a critically-panned biopic starring Nicole Kidman as Grace Kelly, is bypassing theatrical release and heading straight to Lifetime for a May 25 premiere after poor international box office performance. The Weinstein Company purchased the distribution rights and decided to sell it directly to television rather than book it into U.S. theaters, following creative disputes between director Olivier Dahan and Harvey Weinstein over the film's final cut. The film was also criticized by Grace Kelly's children as ""needlessly glamorized and historically inaccurate.""","The critically-panned film ""Grace of Monaco,"" starring Nicole Kidman as Grace Kelly, will premiere on Lifetime on Memorial Day, May 25th, after The Weinstein Co. sold its U.S. distribution rights. The movie, which opened last year's Cannes Film Festival, faced poor international performance, a dispute between director Olivier Dahan and Harvey Weinstein over the final cut, and criticism from Grace Kelly's children for historical inaccuracies. Originally considered an Oscar contender, the film's troubled production and distribution history ultimately led it to a direct-to-television release.",1.564,1.606,1.543,0.129,0.0909,0.2832
"(CNN)In her 40 years living in Rochelle, Illinois, Cathy Olson had never seen a ","At least one person died as a result of storms in Illinois, an official says .
Fire department: Rescuers searching for trapped victims in Kirkland, Illinois .","A massive tornado struck Rochelle, Illinois, causing significant damage but fortunately resulting in no fatalities in the area, although one person died in Fairdale. The tornado, part of a series of storms that hit the Midwest, left a 22-mile path of destruction, flattening homes and businesses, including a local restaurant, Grubsteakers. Despite the devastation, the community has come together to support those affected, and local officials are working to assess and address the damage.","# Summary

Multiple tornadoes swept through the rural Midwest on Thursday, with the most significant damage occurring in Illinois counties near Rochelle and Fairdale, where one person died and dozens of homes were destroyed or damaged. The tornadoes, which also affected Iowa, Missouri, Kansas, and Oklahoma, cut a 22-mile path through Ogle County and destroyed local businesses, but fortunately spared most lives despite the severe destruction. The storms occurred dangerously close to major population centers like Chicago and Rockford, though residents largely escaped serious injury.","Multiple powerful tornadoes swept through the rural Midwest on Thursday, causing widespread damage and one reported fatality in Fairdale, Illinois. While areas like Rochelle were fortunate, other towns like Kirkland faced significant debris, hindering damage assessment. The tornadoes destroyed homes and businesses, including a beloved restaurant, but many residents were spared serious injury due to timely warnings and community support.",2.272,2.325,1.227,0.14,0.0909,0.0941
(CNN)Eyewitness video showing white North Charleston police Officer Michael Slag,"More questions than answers emerge in controversial S.C. police shooting .
Officer Michael Slager, charged with murder, was fired from the North Charleston Police Department .","Eyewitness video has revealed discrepancies in the police reports regarding the shooting of Walter Scott, an unarmed black man, by North Charleston police officer Michael Slager. Slager, who claimed Scott took his Taser, has been fired and charged with murder after the video showed him shooting Scott as he ran away. The bystander who recorded the video, Feidin Santana, stated he did not see Scott grab the Taser, contradicting Slager's account.","# Summary

North Charleston police officer Michael Slager was fired and charged with murder after video evidence showed him shooting Walter Scott eight times in the back as Scott fled, contradicting Slager's initial claims that Scott grabbed his Taser during a struggle. Witness Feidin Santana's cell phone video and subsequent testimony indicate Scott never obtained the Taser and that Slager may have planted evidence near Scott's body after the shooting. The incident has exposed significant discrepancies between the officer's account to dispatchers and what the eyewitness video actually captured.","Eyewitness video has exposed discrepancies in initial police reports regarding the fatal shooting of Walter Scott by North Charleston Officer Michael Slager. The video shows Slager shooting Scott eight times as Scott runs away, contradicting Slager's claim that Scott tried to take his Taser. Slager has since been fired and charged with murder.",1.431,3.687,0.822,0.2062,0.1368,0.2278
(CNN)Kanye West has settled a lawsuit with a paparazzi photographer he assaulted,"The rapper assaulted the photographer at Los Angeles International Airport in 2013 .
West apologized as part of the settlement, the photographer's lawyer says .","Kanye West has settled a lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted in 2013 at Los Angeles International Airport. The settlement included an apology from West to Ramos, and the case was dismissed to the satisfaction of both parties. This incident highlighted that celebrities are not above the law and cannot physically attack individuals for asking questions.","Kanye West settled a civil lawsuit with paparazzi photographer Daniel Ramos, whom West assaulted at Los Angeles International Airport in July 2013 after Ramos tried to photograph him. As part of the settlement, West issued a public apology to Ramos and the two shook hands, with the case dismissed just before trial was set to begin. West had previously pleaded no contest to misdemeanor battery and was sentenced to probation, anger management, and community service.","Kanye West has settled a civil lawsuit with paparazzi photographer Daniel Ramos, whom he assaulted at Los Angeles International Airport in July 2013. The settlement, reached before the case went to trial, included an apology from West to Ramos. West had previously pleaded no contest to a misdemeanor battery charge for the incident, resulting in probation, anger management, and community service.",1.678,1.508,1.17,0.2169,0.2828,0.2588
"(CNN)""A long, long, time ago..."" Those five words, when uttered or sung, makes b","Manuscript of ""American Pie"" lyrics is sold to unnamed buyer for $1.2 million .
Douglas Brinkley: The song, a talisman for its age, brings joy to people 44 years later .","Don McLean's iconic song ""American Pie,"" released in 1971, is a cultural anthem that blends modern poetry with folk ballad elements, capturing the spirit of a generation. The song, inspired by the tragic 1959 plane crash that killed musicians Buddy Holly, Ritchie Valens, and J.P. ""The Big Bopper"" Richardson, remains a timeless piece of Americana, with its handwritten lyrics recently selling for $1.2 million. McLean's performances of ""American Pie"" continue to resonate with audiences worldwide, maintaining its allure and significance over the decades.","Don McLean's iconic 1971 song ""American Pie"" was inspired by the tragic 1959 plane crash that killed Buddy Holly, Ritchie Valens, and J.P. Richardson, an event that deeply affected McLean as a young paperboy. The handwritten manuscript of the song's lyrics recently sold at Christie's for $1.2 million, reflecting the enduring cultural significance of this 44-year-old masterpiece. The eight-and-a-half-minute allegory has become an essential American anthem that keeps the memory of those musicians alive and continues to unite audiences in collective performances worldwide.","Don McLean's iconic 1971 song, ""American Pie,"" a sprawling 8½-minute allegory, recently saw its 16-page handwritten manuscript sell for $1.2 million at Christie's. The song, a hybrid of poetry, folk ballad, and rock, serves as a cultural anthem that immortalizes the tragic deaths of Buddy Holly, Ritchie Valens, and J.P. ""The Big Bopper"" Richardson, an event that deeply affected McLean as a paperboy. ""American Pie"" remains a timeless piece of Americana, performed thousands of times, and continues to resonate with audiences as a collective experience.",1.674,1.812,1.264,0.1368,0.1774,0.1653
"(CNN)Their relationship led to jail time for her, but Mary Kay Letourneau Fualaa","Letourneau Fualaau had a sexual relationship with her student .
He was 13 when they began the relationship in 1996 .
In May, they will celebrate their 10th wedding anniversary .","Mary Kay Letourneau Fualaau and Vili Fualaau, whose controversial relationship began when she was a 34-year-old teacher and he was her 13-year-old student, are celebrating their 10th wedding anniversary. Despite Letourneau's imprisonment for their illegal relationship, the couple remains together and has two teenage daughters. In an upcoming ""20/20"" interview, they discuss their marriage, Letourneau's desire to teach again, and Fualaau's struggles with alcoholism and depression.","Mary Kay Letourneau, a former Seattle teacher who served over seven years in prison for an affair with her 13-year-old student Vili Fualaau in 1996, is sharing her story in an ABC ""20/20"" interview with Barbara Walters ahead of her 10th wedding anniversary with Fualaau. The couple married in 2005 after her release and are parents to two teenage daughters, with Letourneau now discussing her plans to return to teaching and remove her sex offender status. Fualaau speaks about his struggles with alcoholism and depression, claiming the justice system failed him as a minor.",,2.865,5.369,1.114,0.2157,0.176,0.0
